,QuestionId,Answer_Source,answer,misconception_source,MisconceptionId,ConstructName,QuestionText,MisconceptionName
146,146,AnswerAText,Three point five,MisconceptionAId,1637.0,Read fractions,"How do you say this fraction?
\(
\frac{3}{5}
\)",Has used the decimal point to separate numerator and denominator
147,147,AnswerAText,"![A blue box containing a ""greater than"" symbol  and an orange box containing a ""less than"" symbol]()",MisconceptionAId,1880.0,Use inequality notation to order decimals with the same number of digits ,"Which signs belong in the boxes to make the statement correct?

\( 0.705 \)\[ {\color{blue}\square} \]\( 0.750 \)\[ {\color{orange}\square} \]\( 0.570 \)",Mixes up greater than and less than symbols
148,148,AnswerAText,\( \frac{1}{4} \),MisconceptionAId,760.0,Convert terminating decimals greater than 1 to fractions,"Convert this to a fraction:
\( 1.4 \)",Converts a fraction to a decimal by using the denominator after the decimal point
149,149,AnswerAText,\( 0.021 \),MisconceptionAId,397.0,Calculate the range from a list of data,"What is the range of the following numbers?
\[
0.31,0.30,0.331
\]",When calculating the range does not reorder the data to find the largest number minus the smallest number
150,150,AnswerAText,Cubic metres,MisconceptionAId,1169.0,Identify a unit of volume or capacity,Which of the following is not a measure of volume?,Does not know that cubic means the same as cubed in units
151,151,AnswerAText,To get the next term you add \( 6 \) to the previous term,MisconceptionAId,108.0,Describe a term-to-term sequence,"Which of the following term-to-term rule describes this sequence? \( 4, \quad 10, \quad 14, \quad 24, \quad \ldots \)",Uses only the first two terms of a sequence to work out a term-to-term rule
153,153,AnswerAText,\( d=-\frac{1}{4} \),MisconceptionAId,1214.0,"Solve two-step linear equations, with the variable on one side, involving positive fractions","Solve the equation:
\(12 d-3=0\)","When solving an equation, uses the same operation rather than the inverse."
154,154,AnswerAText,"\( (1,40) \)",MisconceptionAId,1731.0,Calculate time where speed and distance are in the appropriate units,"This displacement-time graph shows the start of Mo's journey home.

During that time he travelled at a speed of \( 4 \mathrm{~m} / \mathrm{s} \).
What are the coordinates of the marked point? ![The vertical axis of the graph is labelled Distance (m) and has a scale marked from 0 to 60 in even steps. The horizontal axis is labelled Time (secs) and has no scale marked on it. The graph is a straight line that goes from point (0,60) and touches the Time axis three squares from the origin (0,0).
The marked point is one square in on the Time axis and at 40 on the Distance axis.]()",Makes an assumption about the squares on a scale representing either 1 or 10
155,155,AnswerAText,\( 7+7.5 \),MisconceptionAId,1788.0,Calculate the area of a trapezium where the dimensions are given in the same units,"When calculating the area of this trapezium, what are the values of \( a \) and \( b \) in the formula? ![Diagram of a trapezium with its 2 parallel sides horizontal. The parallel sides are labelled as 9cm and 10cm. The lengths of the 2 non-parallel sides are labelled as 7cm and 7.5cm. The perpendicular height is labelled as 6cm.]() Area \( =\left(\frac{a+b}{2}\right) h \)",Uses slant heights instead of parallel sides to find area of a trapezium
156,156,AnswerAText,\( 3 \frac{1}{2} \),MisconceptionAId,1104.0,Simplify fractions that simplify to a unit fraction,Write the following fraction in its simplest form: \( 6 \frac{3}{18} \),Simplifies integers when simplifying a mixed number
159,159,AnswerAText,\( 4 \),MisconceptionAId,1701.0,Solve quadratic equations using factorisation in the form (x + a)(x + b) ,"This is the final stage of Lucy's solution to a quadratic equation.
What should replace the star?
\[
(h+4)(h-3)=0
\] \( h=\bigstar \) or \( h=3 \)",Believes the solutions of a quadratic equation are the absolute values of the constants in the factorised form
161,161,AnswerAText,\( 42 \),MisconceptionAId,1093.0,Use a linear sequence expressed as a pattern to make a prediction about another term in the sequence other than the next one,"Without drawing any more terms, how many circles do you predict will be in the \( 7 \) th term of this sequence? ![A diagram showing the first 3 patterns in a sequence. Pattern 1 is a rectangle with a total of 6 circles surrounding it. Pattern 2 is 2 rectangles with a total of 10 circles surrounding it. Pattern 3 is 3 rectangles with a total of 14 circles surrounding it.]()",Has multiplied the value of the first term by the the term being asked
163,163,AnswerAText,Add to give \( 6 \) and multiply to give \( 5 \),MisconceptionAId,2142.0,Factorise a quadratic expression in the form x² + bx + c,When factorising \( x^{2}+5 x+6 \) we need two numbers that:,"Does not know that to factorise a quadratic expression, to find two numbers that add to give the coefficient of the x term, and multiply to give the non variable term
"
164,164,AnswerAText,\( 88 \mathrm{~cm}^{2} \),MisconceptionAId,159.0,Calculate the area of a right-angled triangle where the dimensions are given in the same units,"What is the area of this triangle? ![A right angled triangle with base length 11cm, slant height, 13 cm and perpendicular height 8cm.]()",Does not divide by 2 when calculating the area of a triangle
165,165,AnswerAText,\( 38 \),MisconceptionAId,261.0,Triple numbers,If you triple \( 8 \) you get...,When multiplying just writes the numbers next to each other
166,166,AnswerAText,\( \frac{9 x-1}{6 x^{2}-1} \),MisconceptionAId,2488.0,Divide algebraic fractions involving non-linear expressions,"STEP \( 2 \)
Which of the options is a correct second step to express the following as a single fraction?

\(
\begin{aligned}
& \frac{x-1}{6} \div \frac{x^{2}-1}{9} \\
= & \frac{x-1}{6} \times \frac{9}{x^{2}-1}
\end{aligned}
\)",Answers order of operations questions with brackets as if the brackets are not there
167,167,AnswerAText,\( -7 \),MisconceptionAId,2053.0,Read an integer on a scale where the required measurement is marked by a dash between two numbers,"What is the value of B? ![A vertical number-line with 7 horizontal, equally spaced, dashes representing the position of numbers. ""-10"" next to the bottom dash and ""2"" next to the top dash are the only numbers marked on the line. An arrow, labelled ""B"" is pointing at the middle dash. ]()","When reading integers on a number line, assumes each dash is 1"
169,169,AnswerAText,\( C=15 n \),MisconceptionAId,641.0,Write a formula to describe a situation,"Sally the electrician charges a call-out fee of \( £ 40 \) and then \( £ 15 \) per hour that the job takes.

If a job takes \( n \) hours, which formula would help work out the cost \( (C) \) of hiring Sally?",Does not add on the constant in a worded substitution problem
174,174,AnswerAText,\( 2 y=6 x-5 \),MisconceptionAId,1743.0,Identify parallel lines with at least one equation written in another form,"Which of the following lines is not parallel to
\(y=3 x+5 \text { ? }\)",Believes that the coefficient of x represents the gradient even when a line is not in the form y = mx+c
175,175,AnswerAText,"Only
Tom",MisconceptionAId,1940.0,Recall and use the intersecting diagonals properties of a rhombus,"Tom and Katie are arguing about the diagonals of quadrilaterals.
Tom says a kite has bisecting diagonals.
Katie says a rhombus has bisecting diagonals.
Who is correct? ![A pair of intersecting lines]()",Believes a kite has bisecting diagonals
177,177,AnswerAText,\( x>4 \),MisconceptionAId,863.0,Solve one-step linear inequalities in one variable where the variable appears on one side of the equation,"How should you write the solution to the following inequality?
\(2 x>7\)",Believes inequalities can only include integers
178,178,AnswerAText,\( 18 \),MisconceptionAId,2154.0,Calculate unit fractions of an amount,\( \frac{1}{6} \) of \( 24= \),Thinks finding a fraction of an amount means subtracting from that amount
179,179,AnswerAText,\( 5 \),MisconceptionAId,840.0,Multiply 3 digit integers by 2 digit integers using Napier’s bones,"Dave is trying to solve this problem using Napier's bones
What number does the circled digit represent? \( 356 \times 93 \) ![A Napier's bones grid, with 356 along the top and 93 down the side. From left to right on the top row, with / representing a diagonal line through through the box, the boxes read 2/7, 4/5, 5/4.  From left to right on the bottom row, the boxes read 0/9, 1/5, 1/8. The digit 5 is circled in the second box of the top row, which is in the column under the 5 of 356 and the row along from the 9 of 93.]()",Does not understand the place value of answers from a Napier's bones calculation
181,181,AnswerAText,\( 35 \mathrm{~kg} \),MisconceptionAId,2435.0,Interpret continuous data using a line graph,"This graph shows the amount of potatoes consumed by a restaurant in a week.

How many more potatoes were consumed on Sunday compared to Saturday? ![Chart of potatoes consumed with kilos against day of week]()",Reads one point on a time series graph instead of all the values from a given time period
182,182,AnswerAText,\( (p-4)(p-4) \),MisconceptionAId,547.0,Factorise a quadratic expression in the form x² - c,"Factorise this expression, if possible:
\(
p^{2}-16
\)",Factorises difference of two squares with the same sign in both brackets
184,184,AnswerAText,\( -3 \),MisconceptionAId,2126.0,Write the next term of a descending integer linear sequence,"What is the next term in this sequence?


\[
23, \quad 13, \quad 3, \quad \ldots
\]",Miscounts when subtracting over zero
185,185,AnswerAText,\( 0.96(2 d p) \),MisconceptionAId,1522.0,Calculate the mean from a frequency table,"The table below is a summary of the number of spots counted on \( 25 \) ladybirds. Calculate the mean number of spots per ladybird. ![\begin{tabular}{|c|c|}
Number of spots\\ & Frequency 
\hline \( 5 \) & \( 4 \) \\
\hline \( 6 \) & \( 9 \) \\
\hline \( 7 \) & \( 9 \) \\
\hline \( 8 \) & \( 3 \) \\
\hline
\end{tabular}]()",Believes the mean is total frequency divided by sum of categories given
186,186,AnswerAText,\( 5613 \),MisconceptionAId,1526.0,Express words as 5 digit numbers and above ,"How do you write this number in digits?
Fifty-six thousand and thirteen",Believes that they only need to write non-zero digits when giving a number in digits
188,188,AnswerAText,"Only
Tom",MisconceptionAId,1990.0,"Reflect an object or a point in a horizontal line with the line of reflection drawn, where the line of reflection lies on the edge or outside the object","Tom and Katie are arguing about how to reflect the object in the line of reflection. Who reflects it correctly? ![A grid with a left-leaning parallelogram drawn in the upper half and a blue line across the middle, marked 'line of reflection'. ]() ![Tom does this: an image of a grid with a left-leaning parallelogram drawn in the upper half, a blue line across the middle and a left-leaning parallelogram drawn immediately below. ]() ![Katie does this: An image of a grid with a left-leaning parallelogram drawn in the upper half, a blue line across the middle and a left-leaning parallelogram drawn one line down from the blue line. ]()",Fails to reflect across mirror line
190,190,AnswerAText,\( 1: 12 \),MisconceptionAId,221.0,Solve coordinate geometry questions involving ratio,"![A straight line on squared paper. Points P, Q and R lie on this line. The leftmost end of the line is labelled P. If you travel right 4 squares and up 1 square you get to point Q. If you then travel 8 squares right and 2 squares up from Q you reach point R.]() What is the ratio of \( P Q: P R \) ?",Thinks ratios are written as 1:total
